"id","subdistrict_id","postcode"
"1199","738","38571"
"1200","739","38511"
"1201","740","38571"
"1202","741","38552"
"1203","742","38571"
"1204","743","38511"
"1205","744","38553"
"1207","745","38513"
"1208","745","38514"
"1211","745","38515"
"1210","745","38516"
"1209","745","38517"
"1206","745","38518"
"1212","746","38571"
"1213","747","38963"
"1214","748","38961"
"1215","749","38956"
"1216","750","38962"
"1217","751","38964"
"1218","752","38955"
"1219","753","38965"
"1220","754","38955"
"1221","754","38956"
"1222","755","38961"
"1223","756","38956"
"1224","757","38956"
"1225","758","38956"
"1226","759","38962"
"1227","760","38963"
"1228","761","38961"
"1229","762","39372"
"1230","763","39374"
"1231","764","39373"
"1232","765","39371"
"1233","766","39372"
"1234","766","39373"
"1235","767","39371"
"1236","768","39374"
"1237","769","39373"
"1238","769","39374"
"1239","770","39265"
"1240","771","39262"
"1241","772","39263"
"1242","773","39264"
"1243","774","39261"
"1244","775","39264"
"1245","776","39262"
"1246","777","39267"
"1247","778","39265"
"1248","779","39269"
"1250","780","39261"
"1249","780","39262"
"1251","781","39268"
"1252","782","38767"
"1254","783","38711"
"1255","783","38713"
"1256","783","38714"
"1253","783","38765"
"1257","784","38766"
"1258","785","38768"
"1259","786","38765"
"1260","787","38767"
"1261","788","38764"
"1262","789","38764"
"1263","790","38768"
"1264","791","38768"
"1265","792","38766"
"1266","793","38766"
"1267","794","38767"
"1268","795","38765"
"1269","796","38764"
"1270","797","38881"
"1271","798","38887"
"1272","799","38882"
"1273","800","38876"
"1274","801","38883"
"1275","802","38878"
"1276","803","38885"
"1277","804","38884"
"1278","805","38873"
"1279","806","38875"
"1280","807","38877"
"1281","808","38874"
"1282","809","38886"
"1283","810","38888"
"1290","811","16111"
"1286","811","16112"
"1287","811","16113"
"1292","811","16114"
"1285","811","16115"
"1284","811","16116"
"1289","811","16117"
"1288","811","16118"
"1291","811","16119"
"1295","812","16131"
"1296","812","16132"
"1293","812","16133"
"1299","812","16134"
"1300","812","16135"
"1301","812","16136"
"1297","812","16137"
"1298","812","16138"
"1294","812","16139"
"1307","813","16121"
"1308","813","16122"
"1305","813","16123"
"1304","813","16124"
"1306","813","16125"
"1303","813","16126"
"1302","813","16128"
"1309","813","16129"
"1315","814","16141"
"1314","814","16142"
"1310","814","16143"
"1311","814","16144"
"1312","814","16145"
"1313","814","16146"
"1317","815","16151"
"1323","815","16152"
"1316","815","16153"
"1322","815","16154"
"1319","815","16155"
"1318","815","16156"
"1320","815","16157"
"1321","815","16158"
"1331","816","16161"
"1326","816","16162"
"1327","816","16164"
"1330","816","16165"
"1324","816","16166"
"1328","816","16167"
"1329","816","16168"
"1325","816","16169"
"1332","817","16911"
"1337","817","16912"
"1336","817","16913"
"1335","817","16914"
"1339","817","16915"
"1338","817","16916"
